FName(String),LName(String),AreaCode(String),Phone(String),City(String),State(String),Zip(String),MaritalStatus(String),HasChild(String),Salary(Float),Rate(Float),SingleExemp(Float),ChildExemp(Float) 
Enoch,Sabadini, 504,141-2069,NEW ORLEANS,LA,70131,M,N,90000,6.0,0,0
Janaina,Ohsie, 931,124-1414,DANDRIDGE,TN,37725,S,Y,22000,0.0,0,0
Shahrokh,Haasis, 314,132-1577,SAINT ANN,MO,63074,S,Y,16500,6.0,2100,1200
Hosam,Lingard, 630,149-1072,STOY,IL,62464,M,N,89500,3.0,0,0
Leong,Langholm, 808,151-1577,KURTISTOWN,HI,96760,M,N,69000,8.25,0,0
Anandeep,Sanden, 636,119-1410,WEATHERBY,MO,64497,M,N,6000,4.3125,0,0
Sulin,Wichlacz, 606,125-1952,DUBRE,KY,42731,S,Y,7500,2.25,20,20
Dwight,McAllester, 715,148-1072,BRODHEAD,WI,53520,M,N,85000,5.9232907,0,0
Hendry,Tamches, 907,143-1171,SKAGWAY,AK,99840,M,Y,10500,0.0,0,0
Siddharthan,Burkhard, 337,176-1099,RUSTON,LA,71273,M,N,51500,6.0,0,0
Benn,Leverett, 435,141-1846,SALT LAKE CITY,UT,84101,S,Y,47000,7.0,2475,2475
Wuudiann,Lampert, 402,153-1732,REPUBLICAN CITY,NE,68971,S,Y,23000,6.2184234,103,103
Josiah,Dilley, 912,149-1277,VIDALIA,GA,30475,M,N,38500,6.0,0,0
Heichun,Antonellis, 939,127-1951,FLORIDA,PR,00650,S,N,58000,0.0,0,0
Leighton,Ashton, 541,143-1353,PORTLAND,OR,97280,M,N,10000,9.0,0,0
Vinnakota,Keck, 484,105-1901,LAIRDSVILLE,PA,17742,M,N,86000,3.07,0,0
Vanu,Springer, 605,102-1230,EDGEMONT,SD,57735,M,N,19500,0.0,0,0
Miomir,Bartley, 505,108-1999,ALBUQUERQUE,NM,87151,M,Y,75500,5.3,0,3300
Abderrahmane,Whiting, 702,120-1924,RENO,NV,89502,M,Y,24000,0.0,0,0
Asif,Zimanyi, 802,192-1715,WEST NEWBURY,VT,05085,S,Y,30000,3.6019895,3300,3300
Reiner,Hasenauer, 715,144-1272,MILWAUKEE,WI,53218,S,Y,60000,5.488912,700,400
Liyi,Ndiaye, 859,181-1204,PRIMROSE,KY,41362,S,Y,52000,4.7222223,20,20
Jay,Ruane, 313,113-1241,LA SALLE,MI,48145,S,Y,68000,3.9,3100,3100
Bette,Tomas, 516,113-2037,MERRICK,NY,11566,M,N,38000,4.1737804,0,0
Masahiko,Oerlemans, 304,183-1049,GLEN EASTON,WV,26039,M,Y,21000,3.77,0,2000
Wellington,Pier, 503,173-1997,KEIZER,OR,97307,S,Y,43500,9.0,159,159
Amaryllis,Boersen, 508,161-2088,NORTH ATTLEBORO,MA,02760,M,N,56000,5.3,0,0
Yiorgos,Kosecka, 605,152-1575,SELBY,SD,57472,S,Y,50000,0.0,0,0
Sylvain,Prodrodmidis, 979,123-1351,SAN ANTONIO,TX,78219,S,Y,21000,0.0,0,0
Gianni,Kochskamper, 802,134-1357,VERGENNES,VT,05491,S,Y,20500,3.6,3300,3300
Ralf,Wolfram, 702,182-1510,LAS VEGAS,NV,89145,S,Y,14500,0.0,0,0
Yolla,Desel, 574,120-1943,NEWPORT,IN,47966,S,Y,35500,3.4,1000,1000
Cara,Sever, 443,173-1701,BENEDICT,MD,20612,S,Y,34500,4.75,2400,2400
Karla,Karush, 215,173-1197,MAINLAND,PA,19451,M,N,88500,3.07,0,0
Ella,Rivera, 646,159-1769,BRONX,NY,10461,S,Y,70500,4.3620424,0,1000
ChuXin,Bonifati, 605,107-1430,PARMELEE,SD,57566,S,Y,43500,0.0,0,0
Papa,Schmies, 775,140-1265,ELKO,NV,89801,S,Y,59000,0.0,0,0
Beatrix,Bernatsky, 312,115-2038,CAVE IN ROCK,IL,62919,S,Y,29000,3.0,2000,2000
Cyr,Galatescu, 406,137-1132,POLARIS,MT,59746,S,Y,38500,6.9,1900,1900
Herwig,Abbey, 480,173-1696,SIERRA VISTA,AZ,85650,M,N,24500,3.09475,0,0
Shuguang,Halevi, 915,111-1039,PASADENA,TX,77508,M,N,5500,0.0,0,0
Alagu,Reith, 775,136-1659,SPARKS,NV,89431,M,N,3500,0.0,0,0
Amer,Hochgesang, 980,106-1934,KITTRELL,NC,27544,M,N,17500,6.0996504,0,0
Sadakazu,Zlatea, 316,131-1804,HUDSON,KS,67545,M,N,16000,3.6966667,0,0
Canming,Rivers, 505,134-1711,ALBUQUERQUE,NM,87158,S,Y,89000,5.3,3300,3300
Abdullah,Abouzahra, 214,190-1313,HART,TX,79043,S,N,28500,0.0,0,0
Rain,Babcock, 636,109-1236,KANSAS CITY,MO,64149,S,Y,66500,6.0,2100,1200
Rei,Priol, 775,139-1662,HENDERSON,NV,89011,S,Y,91000,0.0,0,0
Yiyun,Dresser, 858,148-2075,MENTONE,CA,92359,M,N,70500,9.3,0,0
Wenan,Goodwyn, 208,158-1981,PARKER,ID,83438,S,Y,16000,5.8129115,3300,3300
Darrell,Luger, 434,151-1978,LITTLE PLYMOUTH,VA,23091,S,Y,69000,5.75,900,900
Hendry,DiGiano, 971,174-1148,MULINO,OR,97042,S,Y,59000,9.0,159,159
Hartmut,Nassar, 208,101-1978,RICHFIELD,ID,83349,S,Y,29500,7.8,3300,3300
Geereddy,Pinkerton, 630,133-1756,STOY,IL,62464,M,N,2500,3.0,0,0
Min,Gutz, 828,107-1818,KITTRELL,NC,27544,S,Y,65000,7.0961537,3300,3300
Manhoi,Parascandalo, 401,199-1472,WYOMING,RI,02898,S,Y,12000,0.0,0,0
Ruizao,Meijer, 843,126-2054,TRENTON,SC,29847,M,N,11000,6.190175,0,0
Ashok,Okazaki, 269,191-1115,PULLMAN,MI,49450,S,Y,56000,3.9,3100,3100
Curd,Nishimura, 301,143-1653,BALTIMORE,MD,21250,S,Y,14500,4.75,2400,2400
Marlin,Nagahisa, 270,199-1622,STANLEY,KY,42375,M,Y,62500,5.3055553,0,20
Manish,Kinter, 802,104-1832,ORLEANS,VT,05860,S,Y,26500,3.6,3300,3300
Alongkrit,Malavasi, 724,146-1469,ACOSTA,PA,15520,S,Y,42500,3.07,0,0
Egil,Travis, 918,162-1070,OKLAHOMA CITY,OK,73137,M,N,81500,6.25,0,0
Lata,Carrico, 207,116-1440,SOUTH THOMASTON,ME,04858,S,Y,11500,5.2974453,2850,2850
Hsi,Becraft, 864,183-1411,PAULINE,SC,29374,S,N,93000,7.0,3300,0
Roberta,Thoben, 915,161-1985,HOLLAND,TX,76534,M,N,89500,0.0,0,0
Ramarathnam,Flege, 318,115-1158,BATON ROUGE,LA,70823,M,N,2000,2.0,0,0
Gulrukh,Budzinski, 307,165-1339,PINEDALE,WY,82941,M,N,97500,0.0,0,0
Xiulin,Skaar, 989,198-1726,COVERT,MI,49043,S,Y,500,3.9,3100,3100
Francesmary,Roullet, 803,158-1219,SARDINIA,SC,29143,S,Y,47500,7.0,3300,3300
Keiichiro,Costake, 276,101-1211,MEHERRIN,VA,23954,S,Y,41500,5.75,900,900
Shikharesh,Ghidini, 307,166-1789,BOSLER,WY,82051,S,Y,34000,0.0,0,0
Noburu,Prill, 706,182-2010,MORROW,GA,30260,M,N,54500,6.0,0,0
Chandrashekar,Vitthal, 918,129-1052,BRISTOW,OK,74010,S,Y,75000,6.25,1000,1000
Gyozo,Melzer, 808,100-1128,SCHOFIELD BARRACKS,HI,96857,M,N,19500,4.554605,0,0
Bart,Nakakoji, 913,191-1612,TOPEKA,KS,66647,S,Y,73500,6.45,2250,2250
Vicenzo,Pichappan, 605,129-1357,SIOUX FALLS,SD,57194,S,N,21000,0.0,0,0
Sahrah,Yokomori, 434,187-1011,ROANOKE,VA,24011,M,N,76000,5.75,0,0
Aurora,Stiefeling, 401,152-1680,CRANSTON,RI,02920,M,N,51500,0.0,0,0
Khun,Petrovic, 281,165-1288,WINONA,TX,75792,M,N,65000,0.0,0,0
Dermont,Kubicek, 765,119-1547,FORT WAYNE,IN,46854,S,Y,48500,3.4,1000,1000
Justine,Carboni, 302,199-1922,NEWARK,DE,19715,S,Y,63000,5.95,110,110
Heonchul,Keeffe, 541,165-1575,PORTLAND,OR,97290,S,Y,16000,9.0,159,159
Tasuro,Dahlhaus, 769,199-2056,MC COOL,MS,39108,M,Y,70500,5.0,0,1500
Spiro,Czap, 317,114-1841,INDIANAPOLIS,IN,46228,M,N,32500,3.4,0,0
Krister,Laakso, 270,121-1644,BURGIN,KY,40310,M,N,45500,4.361111,0,0
Gaisi,Doggaz, 608,133-1661,PARK FALLS,WI,54552,M,N,79000,5.81904,0,0
Kalappa,Kirkerud, 203,157-1280,SOUTHINGTON,CT,06489,M,N,11500,5.0,0,0
Janine,Leahy, 939,115-1243,ISABELA,PR,00662,M,N,44500,0.0,0,0
Gunhild,Karjoth, 307,128-1551,CLEARMONT,WY,82835,M,N,52000,0.0,0,0
Yuchen,Duspohl, 406,109-2016,FROID,MT,59226,M,N,10000,4.916379,0,0
Gurdeep,Justin, 951,141-2014,RUNNING SPRINGS,CA,92382,S,Y,52500,9.3,87,272
Henrik,Srimani, 864,157-1076,COLUMBIA,SC,29229,S,Y,10500,5.9713035,3300,3300
Palash,Guggino, 660,141-2065,BLACKWATER,MO,65322,S,Y,81500,6.0,2100,1200
Derek,Sundgren, 423,163-1064,BUCHANAN,TN,38222,S,Y,54500,0.0,0,0
Odile,Koers, 907,110-1833,CHEFORNAK,AK,99561,M,Y,42500,0.0,0,0
Dicky,Melter, 720,163-1623,MONARCH,CO,81227,M,N,3500,4.63,0,0
Kaniaki,Noack, 401,110-2034,LITTLE COMPTON,RI,02837,M,N,83500,0.0,0,0
Fetima,Smetana, 276,112-1512,VIRGILINA,VA,24598,S,Y,2000,2.0,900,900
Gennoveffa,Dolinsky, 210,116-1940,AUSTIN,TX,78701,M,N,29000,0.0,0,0
Masakazu,Dupre, 207,191-1339,MOODY,ME,04054,S,Y,50000,8.5,2850,2850
Tanel,Mintchev, 787,129-1480,HUMACAO,PR,00792,S,Y,91000,0.0,0,0
Viera,Dunkel, 606,157-1867,OAK GROVE,KY,42262,S,Y,48500,4.5277777,20,20
Dimitrios,Holldobler, 774,134-1057,DORCHESTER,MA,02122,S,Y,75500,5.3,3575,1000
Ambuj,Westby, 516,185-1013,DENMARK,NY,13631,S,Y,85000,4.4460363,0,1000
Mabhin,Stemmer, 307,152-1775,COWLEY,WY,82420,S,Y,19000,0.0,0,0
Joscha,Nessett, 618,149-1653,WILLOWBROOK,IL,60527,S,Y,27000,3.0,2000,2000
Neven,Salinas, 856,100-1914,HADDONFIELD,NJ,08033,S,Y,83000,2.3935623,1000,1500
Genevieve,Pole, 304,183-1911,HICO,WV,25854,S,Y,23000,3.9099998,2000,2000
Ostap,Helland, 701,187-1611,CROSBY,ND,58730,M,N,52000,2.3585072,0,0
Joper,Pietra, 231,174-1569,HERMANSVILLE,MI,49847,M,N,37500,3.9,0,0
Rujith,Cohoon, 701,166-1589,GACKLE,ND,58442,S,Y,74000,2.6135366,3300,3300
Ilies,Ruger, 939,156-1634,COROZAL,PR,00783,M,N,74500,0.0,0,0
Pak,Kurien, 952,145-1401,RICE,MN,56367,S,Y,52000,7.0303626,3300,3300
Peiwei,Pfening, 908,157-1985,OCEANPORT,NJ,07757,M,N,1500,1.4,0,0
Sanza,Eliens, 219,157-1681,MARYSVILLE,IN,47141,S,Y,25500,3.4,1000,1000
Ying,Euchner, 207,179-1607,NORTH TURNER,ME,04266,M,N,60000,8.5,0,0
Nicolaos,Muckstadt, 423,186-1959,KINGSPORT,TN,37665,S,Y,16000,0.0,0,0
Weiwu,Remedios, 239,152-1980,MIAMI,FL,33132,S,N,10000,0.0,0,0
Irek,Mitchem, 939,130-1553,MOROVIS,PR,00687,S,Y,18500,0.0,0,0
Madhukar,Greenawalt, 319,156-1884,MONTROSE,IA,52639,S,Y,3000,0.6272282,40,40
Jarir,Shneerson, 302,156-1179,MONTCHANIN,DE,19710,S,Y,41500,4.6886363,110,110
Arthur,Hanakawa, 802,114-1024,NORTH HYDE PARK,VT,05665,S,Y,3000,3.6,3300,3300
Bernie,Risk, 435,112-1135,SMITHFIELD,UT,84335,S,Y,41000,7.0,2475,2475
Minghong,Nerbonne, 845,164-1992,ROCHESTER,NY,14624,M,N,62000,4.3128047,0,0
Gnanamalar,Lejter, 870,146-1367,LITTLE ROCK,AR,72295,M,Y,41000,7.0,0,20
Nai,Lebib, 317,121-1731,WEST LEBANON,IN,47991,S,Y,11500,3.4,1000,1000
Chandrajit,Quinke, 208,121-1883,HOWE,ID,83244,M,N,89000,7.8,0,0
Padmavathi,Goldsman, 401,175-1635,WARWICK,RI,02887,S,Y,89500,0.0,0,0
Bhuvan,DHooge, 620,130-1644,SYRACUSE,KS,67878,M,N,62500,6.45,0,0
Rufus,Seguel, 606,173-1301,BULAN,KY,41722,S,Y,40000,4.0555553,20,20
Shreesh,Hemmerling, 980,150-1473,BAT CAVE,NC,28710,S,Y,74500,7.2954545,3300,3300
Rushed,Kato, 484,180-1263,NICHOLSON,PA,18446,M,N,88500,3.07,0,0
Mong,Schizas, 208,192-1215,FIRTH,ID,83236,M,N,24000,7.8,0,0
Jamey,Ancourt, 630,157-2017,CISNE,IL,62823,S,Y,91000,3.0,2000,2000
Diethelm,MacLachlan, 770,126-1649,COLLINS,GA,30421,S,Y,93000,6.0,2700,3000
Wasim,Reeds, 469,109-1852,HARROLD,TX,76364,S,Y,91500,0.0,0,0
Hansjorg,Waterhouse, 425,146-1369,EDWALL,WA,99008,M,N,46000,0.0,0,0
Kajal,Aoreira, 769,132-1177,DECATUR,MS,39327,S,Y,2500,3.0,6000,1500
Kalina,Carrera, 980,160-1083,ASHEBORO,NC,27204,M,N,57500,6.9388113,0,0
Shigetoshi,Jupin, 402,115-1743,LODGEPOLE,NE,69149,M,N,70000,6.84,0,0
Rosita,DeBellis, 218,173-1597,WOOD LAKE,MN,56297,M,N,39500,6.3633404,0,0
Bernando,Fokker, 605,181-1149,WITTEN,SD,57584,S,Y,60000,0.0,0,0
Kewal,Junker, 308,106-1930,RAYMOND,NE,68428,M,Y,21500,5.952033,0,103
Ethem,Schapire, 907,130-1538,STEBBINS,AK,99671,M,Y,32000,0.0,0,0
Stephanie,Jacquart, 219,198-2054,FORT WAYNE,IN,46899,S,Y,76500,3.4,1000,1000
Shahrokh,Quisquater, 501,142-1952,NORPHLET,AR,71759,S,Y,28000,6.8804827,20,20
Hayato,Kajimoto, 435,128-1951,HOLDEN,UT,84636,S,Y,71000,7.0,2475,2475
Natacha,Mosedale, 614,148-1876,RARDEN,OH,45671,M,N,80000,3.2016153,0,0
Bhavani,Perz, 315,115-1938,BROOKLYN,NY,11255,S,Y,30500,4.1303353,0,1000
Komei,Uchoa, 701,144-1789,WOLFORD,ND,58385,M,N,45000,2.2773614,0,0
Minghui,Coe, 406,184-1207,LORING,MT,59537,M,N,73500,6.9,0,0
Alak,Weisman, 225,143-2020,VIVIAN,LA,71082,M,N,43500,6.0,0,0
Xuemin,Mallach, 401,101-2025,JAMESTOWN,RI,02835,M,N,1500,0.0,0,0
Wenhong,Kann, 832,186-1931,CORPUS CHRISTI,TX,78461,M,N,31500,0.0,0,0
Gardiner,Carciofini, 207,134-1789,NORTH VASSALBORO,ME,04962,M,N,22500,8.5,0,0
Sneha,Menezes, 916,138-2066,LAGUNA NIGUEL,CA,92677,M,N,64500,9.3,0,0
Kazuhira,Mizunuma, 267,101-1898,BLACK LICK,PA,15716,S,Y,5500,3.07,0,0
Sihem,Vines, 580,115-1558,HARDESTY,OK,73944,S,Y,42000,6.25,1000,1000
Rieko,Handschuh, 787,134-2057,ARROYO,PR,00714,M,N,5500,0.0,0,0
Dasu,Schwaller, 720,124-1152,AURORA,CO,80047,M,N,54000,4.63,0,0
Janathan,Iacobetz, 443,149-1252,CLARKSVILLE,MD,21029,S,Y,5500,4.75,2400,2400
Esmond,Travis, 202,143-1738,WASHINGTON,DC,20015,M,N,64000,9.0,0,0
Tong,Sawamiphakdi, 765,166-1990,EVANSVILLE,IN,47721,M,N,59500,3.4,0,0
Monvef,Gopfrich, 719,112-1939,ARVADA,CO,80004,S,Y,63000,4.63,0,0
Shaye,Strubbe, 928,193-1216,KIRKLAND,AZ,86332,S,Y,15000,2.9475,2100,2300
Borislav,Nations, 740,182-1477,MIAMISBURG,OH,45342,M,N,1500,0.712,0,0
Jeretta,Beounes, 682,116-1590,UVALDE,TX,78801,M,N,69500,0.0,0,0
Debatosh,Prell, 702,196-2022,LAS VEGAS,NV,89180,M,N,38500,0.0,0,0
Baio,Wygladala, 479,168-1791,CHESTER,AR,72934,M,N,30500,7.0,0,0
Tadahiko,Dunlop, 608,116-1061,GREEN VALLEY,WI,54127,S,Y,87500,5.9667287,700,400
Jian,Caneghem, 603,178-1815,MANCHESTER,NH,03108,M,N,57500,0.0,0,0
Moonhang,Szilard, 863,101-1796,CLEARWATER,FL,33764,S,Y,77000,0.0,0,0
Jordi,Rutschlin, 402,181-1504,DUNNING,NE,68833,S,Y,72500,6.84,103,103
Jui,Kingdon, 435,196-1757,VIRGIN,UT,84779,S,Y,25500,7.0,2475,2475
Yijie,Hansgen, 870,101-2074,WARD,AR,72176,M,N,92500,7.0,0,0
Juval,Sackman, 603,117-1276,AUBURN,NH,03032,M,N,80500,0.0,0,0
Yennun,Murtha, 920,167-1191,SOBIESKI,WI,54171,M,N,89500,6.0014787,0,0
Bitan,Deuel, 307,147-2074,LOVELL,WY,82431,M,N,66500,0.0,0,0
Eenjan,Aue, 435,108-1132,SALT LAKE CITY,UT,84134,S,Y,50500,7.0,2475,2475
Darryl,Flavell, 703,168-1095,HILLSVILLE,VA,24343,S,Y,8000,3.3392859,900,900
Zhexue,Perko, 801,134-1737,HYDE PARK,UT,84318,M,N,30500,7.0,0,0
Reshma,Clasen, 707,181-1291,LOS ANGELES,CA,90036,M,N,84500,9.3,0,0
Toshio,Gibson, 603,103-1626,ALSTEAD,NH,03602,S,Y,15500,0.0,0,0
Daivd,Belcastro, 202,133-1859,WASHINGTON,DC,20538,S,Y,74000,9.0,1370,1370
Rustam,Saletore, 787,159-1398,SAN SEBASTIAN,PR,00685,S,Y,92000,0.0,0,0
Ute,Faure, 787,163-1358,CAGUAS,PR,00727,M,N,73000,0.0,0,0
Delbert,Eversberg, 432,173-1996,BLEDSOE,TX,79314,S,Y,27000,0.0,0,0
Juliet,Collings, 703,111-1439,BLACKSBURG,VA,24062,M,N,40500,5.75,0,0
Fangqing,Peha, 240,187-1211,BUCKEYSTOWN,MD,21717,S,Y,47000,4.75,2400,2400
Yunfa,Izumida, 314,147-1675,DUENWEG,MO,64841,M,N,1500,1.78125,0,0
Wagdy,Scherz, 832,194-1018,RIVIERA,TX,78379,S,Y,59000,0.0,0,0
Kyoo,Lyonns, 412,193-1721,FRANKLINTOWN,PA,17323,S,Y,52500,3.07,0,0
Yalin,Hagglund, 518,106-1929,JOHNSTOWN,NY,12095,M,N,75500,4.391006,0,0
Rajendra,Greef, 513,164-1275,ARCADIA,OH,44804,S,Y,61000,2.5709128,1300,1300
Mounir,Zaiane, 708,128-2051,BELLEVILLE,IL,62226,S,Y,32000,3.0,2000,2000
Galia,Samadzadeh, 939,139-2058,SAN JUAN,PR,00933,S,Y,80500,0.0,0,0
Chongkye,Tate, 941,172-1386,PLANT CITY,FL,33565,M,N,35000,0.0,0,0
Paola,Coolsaet, 562,152-1862,LOS ANGELES,CA,90041,S,Y,18500,3.875656,87,272
Neri,Jenkins, 417,122-2046,SHELL KNOB,MO,65747,S,Y,48000,6.0,2100,1200
Gwenael,Luckham, 715,164-2078,GLIDDEN,WI,54527,M,Y,51500,5.3412237,0,400
Amelia,Nagasawa, 913,117-1840,HAZELTON,KS,67061,S,Y,26500,5.7616663,2250,2250
Wiebke,Diepold, 410,179-2087,BROOKLANDVILLE,MD,21022,M,N,57000,4.75,0,0
Amparo,Sreerama, 423,121-1512,PALMERSVILLE,TN,38241,S,N,40000,0.0,0,0
Graham,Manthey, 850,114-1974,DELRAY BEACH,FL,33483,S,Y,92000,0.0,0,0
Eckart,Milos, 307,114-1437,SHERIDAN,WY,82801,S,N,3000,0.0,0,0
Hacene,Sagayama, 520,136-1381,PHOENIX,AZ,85016,S,Y,51500,3.5132499,2100,2300
Wagner,Fritzsche, 603,161-1984,ORFORD,NH,03777,S,Y,57500,0.0,0,0
Upen,Kamperman, 240,152-1130,GRASONVILLE,MD,21638,S,Y,65500,4.75,2400,2400
Hareton,Mitsui, 601,165-2089,KOSCIUSKO,MS,39090,M,N,84000,5.0,0,0
Cord,Lyle, 406,188-1498,LAUREL,MT,59044,S,Y,45000,6.9,1900,1900
Hayden,Lienhardt, 715,170-1693,CONRATH,WI,54731,S,Y,10000,4.620155,700,400
Amar,Schweikhardt, 423,101-1544,ATHENS,TN,37371,M,N,33000,0.0,0,0
Viktoria,Falster, 843,116-1107,CHARLESTON,SC,29401,M,N,27000,7.0,0,0
Kripasindhu,Kunieda, 908,159-2027,WRIGHTSTOWN,NJ,08562,M,N,77000,2.2989376,0,0
Edmundo,Upadhyaya, 308,154-1477,BELVIDERE,NE,68315,M,N,37500,6.84,0,0
Eginhard,Avouris, 330,140-1768,YOUNGSTOWN,OH,44505,S,Y,58000,2.4713283,1300,1300
Anno,Bidulock, 406,108-1498,AUGUSTA,MT,59410,S,Y,29000,6.9,1900,1900
Anujan,Nisbet, 610,179-1289,NEW CASTLE,PA,16108,M,N,44500,3.07,0,0
Sashi,Hanover, 763,154-1577,CLARKFIELD,MN,56223,M,N,75000,7.85,0,0
Dragomir,Gryz, 207,102-1330,NORTH HAVEN,ME,04853,M,N,22500,8.5,0,0
Sariel,Krisper, 765,176-1000,MICHIGAN CITY,IN,46361,S,Y,96500,3.4,1000,1000
Driss,Belinskaya, 603,142-1543,MILTON,NH,03851,M,N,62500,0.0,0,0
Lambert,Burston, 605,119-1022,BONESTEEL,SD,57317,S,Y,44000,0.0,0,0
Giuliano,Morrey, 207,100-1160,AUBURN,ME,04212,S,Y,12000,5.534672,2850,2850
Joost,Spitz, 712,171-1294,MALLARD,IA,50562,S,N,17000,2.788519,40,0
Nanda,Semmens, 602,105-1433,MARANA,AZ,85658,M,N,45500,3.42025,0,0
Raimund,Altus, 505,162-1586,PIE TOWN,NM,87827,M,N,33500,5.3,0,0
Kwangho,Mirandola, 401,161-1789,BLOCK ISLAND,RI,02807,S,Y,71000,0.0,0,0
Aleta,Marsiglia, 202,112-1750,WASHINGTON,DC,20543,M,N,22500,7.3125,0,0
Shaoying,Twardowski, 219,155-1783,FOUNTAIN CITY,IN,47341,M,Y,24000,3.4,0,1000
Patiwat,Lobjois, 913,196-1420,SALINA,KS,67401,S,Y,89500,6.45,2250,2250
Pak,Junet, 585,156-1383,NEW YORK,NY,10117,M,N,68500,4.350457,0,0
Detlef,Dybig, 414,131-2054,EAU CLAIRE,WI,54703,S,Y,29500,4.9589705,700,400
Yngve,Bernardeschi, 701,145-1690,PAGE,ND,58064,S,Y,74000,2.6135366,3300,3300
Walling,Piens, 860,102-1226,SOUTH LYME,CT,06376,M,N,73500,5.0,0,0
Brad,Gerke, 847,115-1843,GLASFORD,IL,61533,M,N,78000,3.0,0,0
Gavin,Reghabi, 304,141-1461,ASHTON,WV,25503,M,N,71500,6.5,0,0
Annie,Estier, 706,185-1695,THOMSON,GA,30824,S,N,20500,6.0,2700,0
Claus,Taubner, 216,118-2041,CINCINNATI,OH,45263,S,Y,77000,3.1020308,1300,1300
Otfried,Nassar, 620,110-1737,GOVE,KS,67736,M,N,5000,3.5,0,0
Kalidou,Ripplinger, 509,106-1729,LUMMI ISLAND,WA,98262,M,N,45000,0.0,0,0
Sudip,Restivo, 580,142-1090,TALIHINA,OK,74571,M,N,6000,3.6944447,0,0
Jianjian,Elgaard, 316,183-1106,NEAL,KS,66863,S,Y,95000,6.45,2250,2250
Huihuang,Wnek, 603,132-1360,LACONIA,NH,03247,S,Y,30000,0.0,0,0
Aelmut,Ohhara, 256,100-1823,LOXLEY,AL,36551,S,Y,33500,5.0,1500,300
Ung,Wode, 702,131-1591,ELKO,NV,89801,S,Y,52000,0.0,0,0
Nasi,Tierney, 406,195-1398,BELFRY,MT,59008,M,Y,87500,6.9,0,1900
Usama,Schlabach, 260,129-1689,EVANSVILLE,IN,47704,S,Y,86500,3.4,1000,1000
Amedo,Harnpanichpun, 601,190-1413,MCCOMB,MS,39649,M,N,81500,5.0,0,0
Jereon,McKibbon, 215,173-1401,PITTSBURGH,PA,15213,M,N,27000,3.07,0,0
Eitan,Trachtman, 406,128-2083,MISSOULA,MT,59801,M,N,89000,6.9,0,0
Sergei,Kriman, 315,133-1761,CALLICOON CENTER,NY,12724,M,N,58500,4.2925305,0,0
Karni,Dami, 939,187-1631,AGUADILLA,PR,00605,S,Y,87000,0.0,0,0
Narvardin,Panzer, 319,126-1454,ACKLEY,IA,50601,S,Y,32000,5.104188,40,40
Jobst,Borchering, 651,162-1685,GRAND RAPIDS,MN,55745,M,N,49500,6.8969584,0,0
Donia,Wahab, 630,116-1999,BARTELSO,IL,62218,M,N,35000,3.0,0,0
Ranjit,Kaizoji, 406,157-1955,FROMBERG,MT,59029,M,N,66500,6.9,0,0
Jed,Sluis, 907,115-1043,FAIRBANKS,AK,99790,S,Y,86500,0.0,0,0
Hartmut,Hadfield, 405,188-1211,CARNEY,OK,74832,S,N,95000,6.25,1000,0
Line,Yabe, 706,151-1279,ALAPAHA,GA,31622,S,Y,1500,1.5999999,2700,3000
Mihael,Cassels, 540,191-1782,MOUTH OF WILSON,VA,24363,M,N,97500,5.75,0,0
Ikuyo,Stirpe, 351,197-1257,MONTEREY,MA,01245,M,N,98000,5.3,0,0
Rushed,Dekeyser, 205,176-1999,GADSDEN,AL,35901,S,Y,5500,5.0,1500,300
Lokman,Vrancken, 810,176-1304,FOSTORIA,MI,48435,M,N,3500,3.9,0,0
Martii,Sabbagh, 941,160-1399,SORRENTO,FL,32776,M,N,93000,0.0,0,0
Mazen,Kneece, 512,140-1867,CONROE,TX,77303,S,Y,74000,0.0,0,0
PeiZong,Jonscher, 208,138-1061,LOWMAN,ID,83637,M,N,60500,7.8,0,0
Sumitra,Petrounias, 857,198-1741,FEEDING HILLS,MA,01030,S,Y,55500,5.3,3575,1000
Narao,Pelletier, 602,180-1304,BOUSE,AZ,85325,S,Y,40500,3.3427498,2100,2300
Liangchun,Fasching, 605,181-1677,TEA,SD,57064,M,N,33000,0.0,0,0
Fazel,Heiser, 351,154-1677,EASTHAM,MA,02642,S,Y,38000,5.3,3575,1000
Insung,Merro, 501,179-1539,BENTONVILLE,AR,72716,S,Y,93500,7.0,20,20
Hanpei,Schairer, 334,147-2070,AUBURN,AL,36832,M,N,10000,5.0,0,0
Mary,Wolfrum, 719,183-2093,ECKLEY,CO,80727,M,N,17000,4.63,0,0
Kaniaki,Chalfan, 606,185-1706,OWENSBORO,KY,42303,S,Y,58500,5.083333,20,20
Darwen,Chubb, 228,163-1690,LOUISE,MS,39097,M,N,12500,5.0,0,0
Shintaro,Lanfear, 351,118-1842,WOODS HOLE,MA,02543,S,Y,35000,5.3,3575,1000
Vikas,Geske, 443,132-2077,BALTIMORE,MD,21290,S,Y,35000,4.75,2400,2400
Alistair,Katzenelson, 808,196-1619,HONOLULU,HI,96828,S,Y,14500,3.6532893,1040,1040
Doowon,Kranakis, 219,178-1605,FREEDOM,IN,47431,S,Y,37000,3.4,1000,1000
Azzam,Nose, 208,125-1948,DINGLE,ID,83233,S,Y,18000,6.380651,3300,3300
Christoforos,Saracelli, 360,169-1580,ADNA,WA,98522,M,N,56500,0.0,0,0
